Sensors,Subteam
FL_VSS,Suspension-Powertrain-Chassis
FR_VSS,Suspension-Powertrain-Chassis
BL_VSS,Suspension-Powertrain-Chassis
BR_VSS,Suspension-Powertrain-Chassis
FL_BRK_TMP,Suspension
FR_BRK_TMP,Suspension
BL_BRK_TMP,Suspension
BR_BRK_TMP,Suspension
FL_SUS_POT,Suspension
FR_SUS_POT,Suspension
BR_SUS_POT,Suspension
BL_SUS_POT,Suspension
F_BRK_PRES,Suspension
B_BRK_PRES,Suspension
STEER_ANG,Suspension
TPS,Powertrain
OIL_PRES,Powertrain
OIL_TEMP,Powertrain
COOL_TEMP,Powertrain
MAP,Powertrain
MAT,Powertrain
NEUT,Powertrain
LAMBDA1,Powertrain
LAMBDA2,Powertrain
ACCELX,Frame-Suspension-Chassis
ACCELY,Frame-Suspension-Chassis
ACCELZ,Frame-Suspension-Chassis
STRAIN1,Aerodynamics
STRAIN2,Aerodynamics
STRAIN3,Aerodynamics
STRAIN4,Aerodynamics
PTUBE1,Aerodynamics
PTUBE2,Aerodynamics
PTUBE3,Aerodynamics
PTUBE4,Aerodynamics
PTUBE5,Aerodynamics
PTUBE6,Aerodynamics
PTUBE7,Aerodynamics
PTUBE8,Aerodynamics
PTUBE9,Aerodynamics
PTUBE10,Aerodynamics
PTUBE11,Aerodynamics
PTUBE12,Aerodynamics
GYROX,nu
GYROY,nu
GYROZ,nu
MAGNETX,nu
MAGNETY,nu
MAGNETZ,nu
DAQTEMP,Electronics
BATT_VLT,Aerodynamics-Electronics-EV-Frame-Suspension-Powertrain-Chassis
RPMS,Powertrain
